date,Battery (Charging) -  MW,Pumps -  MW,Coal (Brown) -  MW,Coal (Black) -  MW,Bioenergy (Biomass) -  MW,Distillate -  MW,Gas (Steam) -  MW,Gas (CCGT) -  MW,Gas (OCGT) -  MW,Gas (Reciprocating) -  MW,Gas (Waste Coal Mine) -  MW,Battery (Discharging) -  MW,Hydro -  MW,Wind -  MW,Solar (Utility) -  MW,Solar (Rooftop) -  MW,Coal (Brown) Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Gas (Waste Coal Mine) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2025-06-18 18:30,-1.45,0.00,3407.22,12968.87,37.71,0.00,899.31,2193.47,5234.54,170.77,26.70,1605.93,4292.76,1531.90,0.88,0.00,662.23,1935.88,0.26,0.00,83.57,156.41,578.60,16.78,2.64,636.98,448.91
2025-06-18 19:00,-2.59,0.00,3404.35,13011.96,37.44,0.00,898.31,2184.43,5284.48,174.43,25.89,1332.50,4267.11,1581.50,0.93,0.00,1984.96,5831.44,0.79,0.00,250.42,467.58,1752.47,51.43,7.69,642.64,900.00
2025-06-18 19:30,-53.97,0.00,3688.35,13076.46,36.74,0.00,897.83,2199.03,5151.00,174.68,25.82,829.22,4309.63,1628.11,0.96,0.00,2144.37,5862.06,0.79,0.00,250.28,470.34,1711.12,51.50,7.67,656.88,496.69
2025-06-18 20:00,-46.32,0.00,3723.25,13310.10,37.11,0.00,895.00,2223.83,4674.76,174.05,24.71,411.46,4370.32,1656.04,0.90,0.00,2163.76,5971.70,0.79,0.00,249.48,474.81,1552.33,51.32,7.35,665.81,550.69
2025-06-18 20:30,-36.03,0.00,3731.36,13134.07,29.80,-0.05,896.65,2315.12,4389.77,174.64,25.38,335.51,4189.09,1731.86,0.91,0.00,2168.45,5894.33,0.74,0.00,249.94,491.88,1459.82,51.49,7.54,667.84,549.69
2025-06-18 21:00,-42.84,0.00,3725.44,13105.61,28.44,-0.12,896.75,2273.75,3994.40,174.17,26.11,130.44,4034.91,1870.88,0.88,0.00,2165.04,5880.97,0.73,0.00,249.97,483.61,1329.90,51.35,7.75,673.05,389.82
2025-06-18 21:30,-35.46,0.00,3715.98,13247.51,26.65,-0.12,894.63,2226.75,3519.75,173.50,26.41,55.89,3471.95,2091.22,0.88,0.00,2159.57,5945.87,0.74,0.00,249.37,474.24,1168.20,51.16,7.83,683.79,288.16
2025-06-18 22:00,-69.22,0.00,3718.70,13317.02,24.83,0.00,896.67,2180.34,2865.83,174.60,26.23,27.90,2563.01,2481.48,0.88,0.00,2161.13,5976.96,0.71,0.00,249.95,461.62,934.17,51.48,7.78,697.94,190.55
2025-06-18 22:30,-125.47,0.00,3726.44,13179.50,12.06,0.00,897.94,2080.39,1931.74,174.63,26.12,30.83,2596.32,2665.35,0.88,0.00,2165.57,5917.08,0.56,0.00,250.32,425.51,593.68,51.49,7.75,692.14,178.03
2025-06-18 23:00,-309.53,0.00,3740.38,13159.51,2.04,0.00,822.98,1891.51,1562.76,146.41,26.04,5.82,2105.53,2877.55,0.88,0.00,2173.68,5906.87,0.43,0.00,229.04,386.81,481.55,43.17,7.73,709.08,154.55
